"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 11:10:05 GMT 2025","Sun Jan 12 11:10:06 GMT 2025","877","Moneybox.tests.Get_all_moneybox","test_get_all","TestGetAll","","","test_03","Получение списка всех архивных копилок"
"passed","Sun Jan 12 11:10:10 GMT 2025","Sun Jan 12 11:10:10 GMT 2025","243","Moneybox.tests.Get_all_moneybox","test_is_archived_field","TestGetAll","","","test_01","Пустое поле"
"passed","Sun Jan 12 11:10:02 GMT 2025","Sun Jan 12 11:10:03 GMT 2025","633","Moneybox.tests.Get_all_moneybox","test_get_all","TestGetAll","","","test_02","Получение списка всех активных копилок"
"passed","Sun Jan 12 11:10:15 GMT 2025","Sun Jan 12 11:10:15 GMT 2025","234","Moneybox.tests.Get_all_moneybox","test_is_archived_field","TestGetAll","","","test_03","Неверный тип данных"
"passed","Sun Jan 12 11:10:12 GMT 2025","Sun Jan 12 11:10:13 GMT 2025","235","Moneybox.tests.Get_all_moneybox","test_is_archived_field","TestGetAll","","","test_02","Null"
"passed","Sun Jan 12 11:10:07 GMT 2025","Sun Jan 12 11:10:07 GMT 2025","691","Moneybox.tests.Get_all_moneybox","test_get_all","TestGetAll","","","test_04","Получение списка всех копилок (неавторизованный пользователь)"
"passed","Sun Jan 12 11:10:00 GMT 2025","Sun Jan 12 11:10:00 GMT 2025","676","Moneybox.tests.Get_all_moneybox","test_get_all","TestGetAll","","","test_01","Получение списка всех копилок (авторизованный пользователь)"
